OPUIC,Stop name,Station abbreviation
8530818,Sachseln Schiffstation,
8572950,"Emmetten, Schöneck",
8508887,"Beckenried, Niederdorf",
8574072,"Speicher, Sitz",SPSI
8574073,"Speicher, Almenweg",SPAW
8578575,"Naters, Sportplatz",
8578576,"Naters, Saaser Müra",
8578434,"Naters, Venezia",
8578894,"Naters, Massegga",
8578410,"Naters, Weingarten",
8515185,Gurgs (B),GURG
8593183,"Versoix, centre sportif",
8587054,"Meinier, Corsinge-village",
8593003,"Meinier, Murailles",
8593006,"Meinier, route de Corsinge",
8593002,"Meinier, Merlinge",
8595497,"Walchwil, Blimoos",
8574064,"Haslen AI, Kastbühl",
8578385,"Wilchingen, Dorf",
8587590,"Rotkreuz, Langmatt",
8581817,"Ardez, Bröl",
8503522,"Guarda, Pitschen",
8530976,Beckenried Stafel,
8508467,Beckenried (See),BECK
8572960,"Beckenried, Höfe",
8579242,"Obbürgen, Moos",
8570294,"Pailly, La Croix",
8570305,"Pailly, Le Rembloz",
8572346,"Langenbruck, Unterdorf",
8503465,Neunkirch,NEUK
8557029,"Bürgenstock, Residenzen",
8572143,"Laufen, Katholische Kirche",
8595473,"Gelterkinden, Rohrbachweg",
8500996,"Gelterkinden, Post",
8592967,"Jussy, Peupliers",
8592970,"Jussy, Sionnet",
8571893,"Les Planchettes, Sur-le-Ring",
8503218,"Bellevue GE, Mollies",
8578401,"Ramsen, Zoll",
8503676,"Pratteln, Schwimmbad",
8582201,"Laufen, Schlachthuus",
8578391,"Hallau, Atlingen",
8508482,Rotzloch,
8572902,"Ennetmoos, Schützenhaus",
8572194,"Bärschwil, Station",
8579244,"Obbürgen, Abzw. Trogen",
8572901,"Ennetmoos, Waldheim",
8500984,"Arisdorf, Olsbergerstrasse",
8572237,"Arisdorf, Weieren",
8509862,"Putz, alte Post",
8505720,"Ried-Brig, Lauenen",
8509962,"Tarasp, Vulpera",
8500964,"Rothenfluh, Hirschengasse",
8593080,"Presinge, Bornes",
8593081,"Presinge, Grand-Cara",
8572886,"Giswil, Emmenrank",
8509735,Gadenstätt,
8594994,"Pratteln, Bahnhof Nord",
8530225,Le Stand,STD
8530012,Petit-Martel-Est,PTME
8579611,"Chézard-St-Martin,Grand-Chézar",
8583640,"Savognin, Bursa",
8574160,"Trogen, Bahnhof",
8517416,"Pratteln, Kästeli",
8582864,"Klosters, Rufinis",
8578411,"Weissbad, Bötz",
8506257,Wasserauen (Ebenalpbahn),
8574153,"Wald AR, Obergaden",
8508683,"Glaubenbielen, Parkplatz",
8588566,"Speicherschwendi,Hinter d. Ack",SPHA
8508977,"Wilen (Sarnen), Badmatt",
8508978,"Oberwilen, Seefuren",
8574636,Prazet,
8574635,Brail,
8504544,"Savognin, scola/Skischule",
8530589,Savognin (Talstation),
8574634,"Salouf, curt Del",
8578414,"Eggerstanden, Kirche",
8506260,"Weissbad, Bahnhof",
8504249,"St. Antönien,PartnunAlpenrösli",
8509746,"St. Antönien, Rüti",
8531180,Parsonz Tigignas,
8583898,"Bivio, Las Colonnas/Passhöhe",
8583513,"Sempach Station, Mettenwilstr.",
8500337,Clünas (Bergstation Ftan),
8531186,Schlivera,
8509768,"Cunter, vischnanca",
8572917,"Grossteil, Schulhaus",
8505724,"Mund, Dorf",
8505702,"Mund, Bachtola",
8573487,"Opfertshofen SH, Reiatstube",
8579716,"Glis, Tolaweg",
8577182,"Feldis/Veulden, Sesselb. Mutta",
8579500,"La Tzoumaz, télécabine",
8570874,"Clèbes (Nendaz), village",
8570857,"Brignon (Nendaz), village",
8592748,"Cologny, Le-Fort",
8593060,"Plan-les-Ouates, La Chapelle",
8579359,"Geschinen, Kirche",GEKI
8578777,"Glis, Holzji",
8578763,"Glis, Wickert",
8571906,"Le Landeron, gare",
8587477,"Chancy, douane",
8573006,"Sempach Stadt, Seesatz",
8583562,"Sempach Stadt, Hültschern",
8578778,"Glis, Napoleon",
8570873,"Beuson (Nendaz), bif.Veysonnaz",
8579718,"Glis, Kapuzinerkloster",
8578548,"Brig, Stadtplatz",
8504566,La Tène,
8582489,"Wavre, collège",
8578898,"Ausserbinn, Hubel",
8595673,"Meinier, Essert",
8592932,"Genthod, La Pralay",
8580208,"Oberwald VS, Rhonequelle",
8593621,"Les Verrières, Vy-Perroud",
8587044,"Collex, centre",
8592720,"Collex, école",
8593203,"Veyrier, Les Quibières",
8592998,"Grand-Lancy, Voirets",
8505738,"Eisten, Ganter",
8571173,"Eisten, Ganterbrücke",
8501748,"Rothwald, Schutzhaus",
8574336,"Oberschan, alte Post",
8585802,"38 Extern Mountain Tour, Berg",
8589097,"Veyrier, Tournettes",
8593193,"Veyrier, Boqueteaux",
8579593,"St-Sulpice NE, bas du village",
8570860,"Basse-Nendaz, La Poya",
8570864,"Sornard (Nendaz), Iggier",
8502749,"Hildisrieden, Post",
8587478,"Chézard-St-Martin, St-Martin",
8571164,"Naters, Panorama",
8571170,"Naters, Bine",
8571163,"Naters, Marktplatz",
8505718,Hegdorn,
8571166,"Naters, Mehlbaum",
8500078,Dornach,DOCH
8504399,"Les Bayards, village",
8570847,"Fey (Nendaz), Les Bans",
8581518,"Ried-Brig, Bleiken",
8581228,"Feldis/Veulden, Schulhaus",
8589094,"Binn, Giesse",
8571176,"Rothwald, Ganterwald",
8579346,"Lax, Bahnhof",LAXB
8517386,Genève-La-Praille EZ10,GEPE
8592771,"Dardagny, Malval-Hameau",
8509657,"Gonzen Palfris, Scheidweg",
8519541,"Münchenstein, Depot BLT",
8592337,"Muttenz, Wartenberg Schlaufe",
8579599,"Les Bayards, Quartier du Vent",
8593548,"Hauterive NE, Longchamps",
8579637,"Savagnier, Les Prayes",
8530824,Belalp Bruchegg,
8530566,Belalp Chiematte,
8578889,"Brig, Termerweg",
8579669,"Poliez-Pittet, collège",
8583490,"Enges, Verger-du-Bas",
8571910,"St-Blaise, centre",
8571912,"St-Blaise, La Goulette",
8531406,Le Taillay (télésiège),
8594872,"Colombier NE, St-Etienne",
8590212,"Buchs AG, Heuweg",
8590210,"Buchs AG, Fabrikweg",
8582179,"Donzhausen, Dorfplatz",
8590215,"Buchs AG, Trieschweg",
8582806,"Weinfelden, Bachtobelstrasse",
8574249,"Arbon, Stahelplatz",ARSP
8509751,"Alvaneu Dorf, Dorfplatz",
8580601,"Amlikon, Oberdorf",
8502774,"Fislisbach, Post",
8580315,"Fislisbach, Dorfstrasse",
8582500,"Schupfart, Unterdorf",
8502368,"Uerkheim, Säge",UKHS
8572548,"Mellingen, Friedhof",
8502888,"Mellingen, Lindenplatz",
8572539,"Mellingen, Stetterstrasse",
8502958,"Münchwilen TG, Eschlikonerstr.",
8572553,"Fislisbach, Gemeindehaus",
8572552,"Fislisbach, Sportanlage Esp",
8583402,"Lussery-Villars, rue Villars",
8578261,"Sissach, Bergweg",
8593512,"Sissach, Allmend",
8500778,"Kilchberg BL, Gemeindehaus",
8502962,"Mellingen, Gheid",
8582879,"Mellingen, Geerig",
8502707,"Mellingen Heitersberg, Bahnhof",
8576496,"Zufikon, Volg",
8502982,"Eggenwil, Dorfplatz",
8595637,"Münchenstein, Klinik Birshof",
8595157,"Vordemwald, Fischerweg",
8500779,"Zeglingen, Unterdorf",
8573746,"Dörflingen, Unterberg",
8588795,"Therwil, Känelmatt",
8578210,"Therwil, Lindenfeld",
8503721,"Einsiedeln, Rüti-Säge",
8503723,"Trachslau, Kirche",
8577128,"Sins, Bahnhof",
8587186,"Neukirch (Egnach), Haldenring",
8593513,"Therwil, Birsmatt",
8570066,"Bournens, école",
8570129,"Cossonay-Penthalaz, gare",
8570132,"Penthaz, Rio",
8588792,"Reinach BL, Lochacker",
8578220,"Reinach BL, Bruggstrasse",
8578221,"Reinach BL, Neu-Reinach",
8572312,"Zeglingen, Oberdorf",
8503470,"Hemishofen, Dorf",
8578330,"Reigoldswil, Linde",
8508875,"Marbachegg, Talstation",
8508770,"Marbach LU, Dorf",
8508739,"Marbach LU, Ey",
8508704,"Marbach LU, Untergasse",
8572265,"Zuzgen, Mühle",
8583673,"Daillens, Les Montets",
8574870,"Surava, Pro Quarta",
8578180,"Münchenstein,Motorfahrzeug-Prü",
8578181,"Münchenstein, Grabenacker",
8506593,"Illhart, Sternen",
8594675,"Arosa, Waldwiese/Seilpark",
8594671,"Arosa, Obersee",
8574721,"St. Peter, Gufa",
8531314,St. Peter Fatschel,
8574748,"Calfreisen, Dorf",
8594677,"Arosa, Gollrad",
8589729,"Kriens, Oberhusrain",
8595718,"Thürnen, Langmatt",
8506571,"Mauren TG, Dorfstrasse",
8578370,"Gächlingen, Höfe",
8593507,"Ramlinsburg, Brunnacker",
8589389,"Bettingen, Diakonissenhaus",
8588418,"Biel-Benken BL, Stöckmatten",
8587019,Baltenschwil AG,
8531060,Arosa Bänkli,
8572597,"Oberwil-Lieli, im Moos",
8581818,"Tschlin, Terza Storta",
8509973,"Vnà, Jalmèr",
8581812,"Kriens, Alpenstrasse",
8574560,"St. Margrethenberg, Tristeli",
8594665,"Arosa, Weisshornbahn/Skischule",
8594659,"Arosa, Gada",
8590277,"Spreitenbach, Langäcker",
8590268,"Spreitenbach, ASP",
8589391,"Bettingen, St. Chrischona",
8578208,"Biel-Benken BL, Bruggmatt",
8578205,"Biel-Benken BL, Unterdorf",
8502757,"Tägerig, Dorfzentrum",
8574875,"Flims Dorf, Denter Vias",
8582910,"Flims Waldhaus, Spielplatz",
