validdate,leisure_biking:idx,snow_depth:cm,t_2m:C,precip_24h:mm,weather_symbol_1h:idx,effective_cloud_cover:octas
2021-07-24T14:00:00Z,0.14615385,0.0,21.26154,8.970769,11.307693,5.4615383
2021-07-25T14:00:00Z,0.36923078,0.0,18.3,26.034615,6.923077,5.4615383
2021-07-26T14:00:00Z,0.3,0.0,19.930769,24.80077,8.692307,5.1538463
2021-07-27T14:00:00Z,0.6423077,0.0,19.446154,21.990768,3.3846154,6.230769
2021-07-28T14:00:00Z,0.43461537,0.0,16.992308,29.74,4.5384617,6.230769
2021-07-29T14:00:00Z,0.90384614,0.0,20.915384,0.5846154,1.0,0.0
2021-07-30T14:00:00Z,0.51153845,0.0,22.138462,4.851538,5.5384617,3.0769231
2021-07-31T14:00:00Z,0.2923077,0.0,19.746155,12.266923,10.0,5.6923075
2021-08-01T14:00:00Z,0.08461539,0.0,13.507692,31.045385,5.8461537,8.0
2021-08-02T14:00:00Z,0.61153847,0.0,16.569231,1.54,3.9230769,2.7692308
2021-08-03T14:00:00Z,0.17307693,0.0,16.253845,9.164616,6.5384617,8.0
2021-08-04T14:00:00Z,0.115384616,0.0,13.023077,19.063847,5.5384617,8.0
2021-08-05T14:00:00Z,0.63846153,0.0,17.538462,14.588462,2.5384614,3.0
2021-08-06T14:00:00Z,0.85384613,0.0,19.5,0.23307692,1.9230769,2.3846154
2021-08-07T14:00:00Z,0.12692308,0.0,16.807692,5.266923,5.6923075,7.4615383
2021-08-08T14:00:00Z,0.7076923,0.0,17.046154,19.336924,2.1538463,2.7692308
2021-08-09T14:00:00Z,0.68846154,0.0,19.53077,0.16384615,3.0769231,2.9230769
2021-08-10T14:00:00Z,0.8769231,0.0,21.53077,0.22,1.1538461,0.61538464
2021-08-11T14:00:00Z,0.88846153,0.0,23.076923,1.426923,1.1538461,0.46153846
2021-08-12T14:00:00Z,0.8153846,0.0,24.392307,0.0,1.2307693,0.53846157
2021-08-13T14:00:00Z,0.75384617,0.0,24.484615,6.1076922,3.2307692,2.9230769
2021-08-14T14:00:00Z,0.7923077,0.0,25.523077,0.026153848,1.5384616,0.15384616
2021-08-15T14:00:00Z,0.5192308,0.0,25.284615,3.6969233,5.1538463,1.3076923
2021-08-16T14:00:00Z,0.33076924,0.0,17.084616,22.62077,6.3846154,5.3846154
2021-08-17T14:00:00Z,0.8153846,0.0,17.76154,6.5876927,1.6923077,2.0
2021-08-18T14:00:00Z,0.8153846,0.0,17.515385,0.037692305,1.6923077,1.7692307
2021-08-19T14:00:00Z,0.83461535,0.0,18.415384,0.0,2.0,2.6153846
2021-08-20T14:00:00Z,0.8769231,0.0,20.1,0.0,1.5384616,1.5384616
2021-08-21T14:00:00Z,0.86153847,0.0,22.13077,0.0,1.2307693,0.84615386
2021-08-22T14:00:00Z,0.61923075,0.0,18.961538,5.6553845,3.7692308,7.230769
2021-08-23T14:00:00Z,0.7807692,0.0,17.692308,3.853846,1.4615384,1.3846154
2021-08-24T14:00:00Z,0.7653846,0.0,17.86923,0.00076923077,1.7692307,2.1538463
2021-08-25T14:00:00Z,0.8153846,0.0,17.446154,4.706923,1.5384616,1.6153846
2021-08-26T14:00:00Z,0.77692306,0.0,17.86923,0.0038461538,1.8461539,2.3076923
2021-08-27T14:00:00Z,0.7692308,0.0,15.092308,0.19923078,1.4615384,1.3076923
2021-08-28T14:00:00Z,0.6269231,0.0,14.538462,0.14846154,2.8461537,3.3846154
2021-08-29T14:00:00Z,0.50384617,0.0,14.046154,1.3384615,3.2307692,5.5384617
2021-08-30T14:00:00Z,0.5923077,0.0,14.853846,0.9338462,3.4615386,4.6153846
2021-08-31T14:00:00Z,0.7923077,0.0,15.7615385,0.54615384,1.3076923,0.9230769
2021-09-01T14:00:00Z,0.8269231,0.0,18.03077,0.15923077,3.1538463,0.15384616
2021-09-02T14:00:00Z,0.88461536,0.0,18.646154,0.026923077,1.0,0.07692308
2021-09-03T14:00:00Z,0.85,0.0,18.26923,0.0,2.2307692,3.6153846
2021-09-04T14:00:00Z,0.45,0.0,18.523077,2.0869231,6.8461537,2.7692308
2021-09-05T14:00:00Z,0.86538464,0.0,19.330769,3.3484616,1.6153846,0.53846157
2021-09-06T14:00:00Z,0.86153847,0.0,19.376923,2.9223077,2.0,1.2307693
2021-09-07T14:00:00Z,0.9269231,0.0,19.3,0.1676923,1.6153846,1.9230769
2021-09-08T14:00:00Z,0.8076923,0.0,18.73077,0.0015384615,2.0769231,2.9230769
2021-09-09T14:00:00Z,0.65384614,0.0,18.515385,3.0361538,2.6923077,3.7692308
2021-09-10T14:00:00Z,0.6576923,0.0,17.569231,2.496923,3.5384614,6.6153846
2021-09-11T14:00:00Z,0.8153846,0.0,17.923077,2.3592308,2.1538463,2.0
2021-09-12T14:00:00Z,0.86538464,0.0,18.746155,0.6346154,1.7692307,2.4615386
2021-09-13T14:00:00Z,0.91923076,0.0,19.853846,0.0,1.0769231,0.53846157
2021-09-14T14:00:00Z,0.7346154,0.0,20.215385,0.16846153,3.2307692,5.6923075
2021-09-15T14:00:00Z,0.3,0.0,18.2,6.9715385,6.6923075,6.6923075
2021-09-16T14:00:00Z,0.28846154,0.0,16.892307,15.828462,6.5384617,7.6153846
2021-09-17T14:00:00Z,0.86538464,0.0,17.5,9.383077,1.0769231,0.23076923
2021-09-18T14:00:00Z,0.85384613,0.0,17.092308,0.32538462,1.4615384,1.7692307
2021-09-19T14:00:00Z,0.046153847,0.0,9.961538,30.902308,5.769231,7.3846154
2021-09-20T14:00:00Z,0.28076923,0.0,12.400001,5.153077,6.076923,8.0
2021-09-21T14:00:00Z,0.8,0.0,14.838461,1.0915384,1.3846154,1.1538461
2021-09-22T14:00:00Z,0.7807692,0.0,15.576923,0.0015384615,1.6923077,2.1538463
2021-09-23T14:00:00Z,0.86153847,0.0,18.83846,0.0,1.2307693,0.61538464
2021-09-24T14:00:00Z,0.9230769,0.0,17.561539,0.0,1.0,0.0
2021-09-25T14:00:00Z,0.7307692,0.0,18.823076,0.026923077,3.2307692,4.3076925
2021-09-26T14:00:00Z,0.5192308,0.0,17.346153,6.9923077,4.4615383,5.230769
2021-09-27T14:00:00Z,0.63461536,0.0,16.16154,2.0507693,5.923077,6.1538463
2021-09-28T14:00:00Z,0.66923076,0.0,16.423077,0.17615384,3.4615386,6.6923075
2021-09-29T14:00:00Z,0.5653846,0.0,14.653846,4.246923,2.9230769,4.3846154
2021-09-30T14:00:00Z,0.7846154,0.0,14.823076,0.15461539,1.5384616,1.5384616
2021-10-01T14:00:00Z,0.7730769,0.0,16.192308,0.0015384615,1.4615384,1.4615384
2021-10-02T14:00:00Z,0.74615383,0.0,16.276922,0.03153846,1.9230769,2.6153846
2021-10-03T14:00:00Z,0.32307693,0.0,13.876924,1.5915384,5.1538463,8.0
2021-10-04T14:00:00Z,0.20384616,0.0,12.438461,15.548462,4.5384617,8.0
2021-10-05T14:00:00Z,0.18076923,0.0,11.407692,24.910769,4.923077,7.4615383
2021-10-06T14:00:00Z,0.32692307,0.30769232,9.053846,5.536154,3.6153846,3.6923077
2021-10-07T14:00:00Z,0.54615384,0.15384616,11.184615,1.2438462,2.2307692,3.1538463
2021-10-08T14:00:00Z,0.75384617,0.0,13.607693,0.0,1.4615384,1.3076923
2021-10-09T14:00:00Z,0.6807692,0.0,12.16923,0.0076923077,1.1538461,0.61538464
2021-10-10T14:00:00Z,0.6769231,0.0,11.3,0.0,1.0,0.0
2021-10-11T14:00:00Z,0.63846153,0.06153846,12.130769,0.0,2.0769231,3.1538463
2021-10-12T14:00:00Z,0.4,0.06153846,8.892307,0.053076923,3.6153846,7.076923
2021-10-13T14:00:00Z,0.4846154,0.34615386,8.892307,1.7946154,1.9230769,3.1538463
2021-10-14T14:00:00Z,0.64615387,0.07692308,11.16923,0.0,1.0769231,0.15384616
2021-10-15T14:00:00Z,0.63461536,0.07692308,12.33077,0.0,2.3076923,3.9230769
2021-10-16T14:00:00Z,0.7192308,0.0,12.538462,0.006153846,1.0,0.0
2021-10-17T14:00:00Z,0.7846154,0.0,13.246154,0.0,1.0,0.0
2021-10-18T14:00:00Z,0.8,0.0,14.207692,0.0015384615,1.3846154,1.5384616
2021-10-19T14:00:00Z,0.61538464,0.0,13.938461,0.18,3.6923077,7.0
2021-10-20T14:00:00Z,0.6615385,0.0,15.153847,0.0,2.6153846,4.923077
